TRACK,LABEL,METHOD,CURVE
101,feature.Area.og1.total,,0
101,feature.Area.og2.IDF_FDI_M,,1
101,feature.Area.og2.total,,1
101,feature.Area.unmanaged,,2
101,feature.Yield.unmanaged.Total,,142
102,feature.Area.og1.IDF_PL_L,,37
102,feature.Area.og1.total,,37
102,feature.Area.og2.IDF_PL_L,,1
102,feature.Area.og2.total,,1
102,feature.Area.unmanaged,,2
102,feature.Yield.unmanaged.Total,,143
103,feature.Area.og1.IDF_PLI_M,,76
103,feature.Area.og1.total,,76
103,feature.Area.og2.IDF_PLI_M,,1
103,feature.Area.og2.total,,1
103,feature.Area.unmanaged,,2
103,feature.Yield.unmanaged.Total,,144
104,feature.Area.og1.IDF_FDI_L,,18
104,feature.Area.og1.total,,18
104,feature.Area.og2.IDF_FDI_L,,1
104,feature.Area.og2.total,,1
104,feature.Area.unmanaged,,2
104,feature.Yield.unmanaged.Total,,145
105,feature.Area.og1.IDF_PL_L,,37
105,feature.Area.og1.total,,37
105,feature.Area.og2.IDF_PL_L,,1
105,feature.Area.og2.total,,1
105,feature.Area.unmanaged,,2
105,feature.Yield.unmanaged.Total,,146
106,feature.Area.og1.IDF_FD_L,,18
106,feature.Area.og1.total,,18
106,feature.Area.og2.IDF_FD_L,,1
106,feature.Area.og2.total,,1
106,feature.Area.unmanaged,,2
106,feature.Yield.unmanaged.Total,,81
107,feature.Area.og1.IDF_PLI_M,,147
107,feature.Area.og1.total,,147
107,feature.Area.og2.IDF_PLI_M,,8
107,feature.Area.og2.total,,8
107,feature.Area.unmanaged,,9
107,feature.Yield.unmanaged.Total,,148
108,feature.Area.og1.SBPS_PL_M,,0
108,feature.Area.og1.total,,0
108,feature.Area.og2.SBPS_PL_M,,1
108,feature.Area.og2.total,,1
108,feature.Area.unmanaged,,2
108,feature.Yield.unmanaged.Total,,149
109,feature.Area.og1.SBPS_PLI_M,,115
109,feature.Area.og1.total,,115
109,feature.Area.og2.SBPS_PLI_M,,8
109,feature.Area.og2.total,,8
109,feature.Area.unmanaged,,9
109,feature.Yield.unmanaged.Total,,150
110,feature.Area.og1.IDF_PLI_L,,151
110,feature.Area.og1.total,,151
110,feature.Area.og2.IDF_PLI_L,,8
110,feature.Area.og2.total,,8
110,feature.Area.unmanaged,,9
110,feature.Yield.unmanaged.Total,,152
111,feature.Area.og1.SBS_SX_L,,153
111,feature.Area.og1.total,,153
111,feature.Area.og2.SBS_SX_L,,1
111,feature.Area.og2.total,,1
111,feature.Area.unmanaged,,2
111,feature.Yield.unmanaged.Total,,154
112,feature.Area.managed,,2
112,feature.Area.og1.SBS_SX_L,,153
112,feature.Area.og1.total,,153
112,feature.Area.og2.SBS_SX_L,,1
112,feature.Area.og2.total,,1
112,feature.Yield.managed.Total,,155
113,feature.Area.og1.SBS_SX_L,,153
113,feature.Area.og1.total,,153
113,feature.Area.og2.SBS_SX_L,,1
113,feature.Area.og2.total,,1
113,feature.Area.unmanaged,,2
113,feature.Yield.unmanaged.Total,,157
114,feature.Area.og1.SBS_FDI_L,,106
114,feature.Area.og1.total,,106
114,feature.Area.og2.SBS_FDI_L,,1
114,feature.Area.og2.total,,1
114,feature.Area.unmanaged,,2
114,feature.Yield.unmanaged.Total,,158
115,feature.Area.og1.SBPS_PLI_H,,23
115,feature.Area.og1.total,,23
115,feature.Area.og2.SBPS_PLI_H,,1
115,feature.Area.og2.total,,1
115,feature.Area.unmanaged,,2
115,feature.Yield.unmanaged.Total,,159
116,feature.Area.managed,,2
116,feature.Area.og1.SBPS_PLI_H,,23
116,feature.Area.og1.total,,23
116,feature.Area.og2.SBPS_PLI_H,,1
116,feature.Area.og2.total,,1
116,feature.Yield.managed.Total,,160
117,feature.Area.og1.SBPS_PL_M,,0
117,feature.Area.og1.total,,0
117,feature.Area.og2.SBPS_PL_M,,1
117,feature.Area.og2.total,,1
117,feature.Area.unmanaged,,2
117,feature.Yield.unmanaged.Total,,44
118,feature.Area.managed,,2
118,feature.Area.og1.SBPS_PL_M,,0
118,feature.Area.og1.total,,0
118,feature.Area.og2.SBPS_PL_M,,1
118,feature.Area.og2.total,,1
118,feature.Yield.managed.Total,,162
119,feature.Area.managed,,2
119,feature.Area.og1.SBPS_PL_M,,0
119,feature.Area.og1.total,,0
119,feature.Area.og2.SBPS_PL_M,,1
119,feature.Area.og2.total,,1
119,feature.Yield.managed.Total,,162
120,feature.Area.og1.IDF_PLI_M,,76
120,feature.Area.og1.total,,76
120,feature.Area.og2.IDF_PLI_M,,1
120,feature.Area.og2.total,,1
120,feature.Area.unmanaged,,2
120,feature.Yield.unmanaged.Total,,164
121,feature.Area.managed,,2
121,feature.Area.og1.IDF_PLI_M,,76
121,feature.Area.og1.total,,76
